Date,Close
02 01 2019,499.7902222
03 01 2019,495.868988
04 01 2019,497.1955261
07 01 2019,497.9470215
08 01 2019,493.8026123
09 01 2019,497.0429688
10 01 2019,495.0940552
11 01 2019,495.892334
14 01 2019,493.4856262
15 01 2019,498.240509
16 01 2019,497.8414001
17 01 2019,500.6825562
18 01 2019,500.2011414
21 01 2019,504.4042358
22 01 2019,501.5161438
23 01 2019,494.3660583
24 01 2019,493.6264954
25 01 2019,492.1589661
28 01 2019,489.3764343
29 01 2019,483.142334
30 01 2019,477.7651978
31 01 2019,488.3902893
01 02 2019,490.8557434
04 02 2019,494.2487793
05 02 2019,496.3973389
06 02 2019,498.4165955
07 02 2019,497.1486511
08 02 2019,498.4165955
11 02 2019,502.4083252
12 02 2019,500.071991
14 02 2019,495.4932251
15 02 2019,493.2508545
18 02 2019,490.7265625
19 02 2019,489.3530273
20 02 2019,495.0588989
21 02 2019,496.8316345
22 02 2019,491.0905151
25 02 2019,499.0623474
26 02 2019,495.598877
27 02 2019,491.2784119
28 02 2019,487.8267212
01 03 2019,489.1886597
05 03 2019,494.7653809
06 03 2019,494.0960999
07 03 2019,499.3206482
08 03 2019,499.7197571
11 03 2019,499.7785034
12 03 2019,509.7696228
13 03 2019,522.8132935
14 03 2019,522.390564
15 03 2019,529.0239258
18 03 2019,531.0080566
19 03 2019,532.4873657
20 03 2019,539.8251343
22 03 2019,534.4596558
25 03 2019,535.6690063
26 03 2019,542.7249146
27 03 2019,539.9307251
28 03 2019,540.7174072
01 04 2019,542.8306274
02 04 2019,538.850708
03 04 2019,538.3575439
04 04 2019,536.2911377
05 04 2019,541.3748779
08 04 2019,537.5708618
09 04 2019,537.06604
10 04 2019,525.3491211
11 04 2019,530.0805664
12 04 2019,531.9003906
15 04 2019,537.4300537
16 04 2019,541.2457275
18 04 2019,538.5689087
22 04 2019,532.7103882
23 04 2019,527.2158813
24 04 2019,535.3051147
25 04 2019,531.4776611
26 04 2019,535.586853
30 04 2019,544.1573486
02 05 2019,553.1622314
03 05 2019,556.0151978
06 05 2019,546.7402344
07 05 2019,545.3079834
08 05 2019,541.7623291
09 05 2019,537.9231567
10 05 2019,539.2381592
13 05 2019,537.0543213
14 05 2019,537.218811
15 05 2019,536.9369507
16 05 2019,542.5606079
17 05 2019,554.6416016
20 05 2019,571.1369019
21 05 2019,564.4095459
22 05 2019,564.8909302
23 05 2019,547.59729
24 05 2019,557.2831421
27 05 2019,565.5015259
28 05 2019,567.3447876
29 05 2019,567.5089722
30 05 2019,572.8275146
31 05 2019,569.4931641
03 06 2019,576.9483643
04 06 2019,575.8212891
06 06 2019,569.0236206
07 06 2019,574.7294312
10 06 2019,572.9800415
11 06 2019,574.9055176
12 06 2019,569.8924561
13 06 2019,574.0367432
14 06 2019,571.7825928
17 06 2019,568.706604
18 06 2019,567.5911255
19 06 2019,570.1976929
20 06 2019,573.269165
21 06 2019,570.3983765
24 06 2019,571.2844238
25 06 2019,573.8244019
26 06 2019,583.0859375
27 06 2019,581.7630005
28 06 2019,577.380127
01 07 2019,587.2561646
02 07 2019,589.4888916
03 07 2019,588.2247925
04 07 2019,586.8427124
05 07 2019,584.1491699
08 07 2019,569.3116455
09 07 2019,562.1172485
10 07 2019,564.3853149
11 07 2019,568.7327271
12 07 2019,565.6021118
15 07 2019,565.8030396
16 07 2019,564.9642334
17 07 2019,566.440918
18 07 2019,569.8549194
19 07 2019,561.2902832
22 07 2019,542.7669067
23 07 2019,534.7927856
24 07 2019,538.9038086
25 07 2019,540.1207275
26 07 2019,538.0532837
29 07 2019,530.2564697
30 07 2019,532.1348267
31 07 2019,531.993042
01 08 2019,526.1086426
02 08 2019,524.3446045
05 08 2019,516.0330811
06 08 2019,518.3655396
07 08 2019,517.1578979
08 08 2019,528.7963257
09 08 2019,540.3637085
13 08 2019,525.7653809
14 08 2019,527.920166
16 08 2019,527.5057983
19 08 2019,522.5686035
20 08 2019,525.8245239
21 08 2019,527.067749
22 08 2019,514.8136597
23 08 2019,512.1141968
26 08 2019,534.2425537
27 08 2019,535.142395
28 08 2019,532.1942749
29 08 2019,527.328186
30 08 2019,527.5650024
03 09 2019,523.5394897
04 09 2019,532.2536011
05 09 2019,529.2698364
06 09 2019,531.8154297
09 09 2019,532.6915894
11 09 2019,533.0941772
12 09 2019,537.7234497
13 09 2019,534.550354
16 09 2019,531.401001
17 09 2019,523.6342163
18 09 2019,518.0459595
19 09 2019,521.4439087
20 09 2019,568.1159668
23 09 2019,595.4182739
24 09 2019,593.7843628
25 09 2019,587.1068115
26 09 2019,588.4328613
27 09 2019,589.2379761
30 09 2019,581.305481
01 10 2019,591.4164429
03 10 2019,579.4584961
04 10 2019,563.4274292
07 10 2019,562.1013794
09 10 2019,581.6369019
10 10 2019,568.5658569
11 10 2019,567.7370605
14 10 2019,570.3891602
15 10 2019,579.2216187
16 10 2019,578.2980347
17 10 2019,577.7772217
18 10 2019,582.0393677
22 10 2019,586.9174194
23 10 2019,588.0065918
24 10 2019,585.4019165
25 10 2019,582.0393677
27 10 2019,586.159668
29 10 2019,588.4328613
30 10 2019,591.2033691
31 10 2019,582.6786499
01 11 2019,587.272644
04 11 2019,585.757019
05 11 2019,587.012085
06 11 2019,595.1340332
07 11 2019,598.4728394
08 11 2019,594.6368408
11 11 2019,598.9702148
13 11 2019,595.5603638
14 11 2019,603.3034668
15 11 2019,605.197876
18 11 2019,597.6915283
19 11 2019,602.3563843
20 11 2019,603.0430298
21 11 2019,607.7789917
22 11 2019,598.9702148
25 11 2019,601.9775391
26 11 2019,603.8481445
27 11 2019,605.4346313
28 11 2019,599.2307739
29 11 2019,603.8007813
02 12 2019,599.4437256
03 12 2019,594.5421753
04 12 2019,592.7662964
05 12 2019,589.9009399
06 12 2019,590.1140747
09 12 2019,588.6460571
10 12 2019,591.7479858
11 12 2019,591.3927612
12 12 2019,598.4255981
13 12 2019,598.5440063
16 12 2019,595.4655762
17 12 2019,601.9775391
18 12 2019,612.0411987
19 12 2019,610.3599854
